title,work_date,work_hours,required_people,region,address,crop_type,preference_condition,image_url
홍성 포도원 관리,2024-08-15~2024-08-19,07:00-16:00,3-5명,충남 홍성군,충남 홍성군 홍동면 포도원길 444,포도,포도주 체험/여름 작업,https://images.unsplash.com/photo-1537640538966-79f369143327?w=500
금산 인삼 캐기 체험,2024-10-25~2024-10-29,08:30-15:30,2-4명,충남 금산군,충남 금산군 금산읍 인삼로 555,인삼,6년근 인삼/건강 관심자,https://images.unsplash.com/photo-1609501676725-7186f4f3d28e?w=500
군위 대구사과 농장,2024-10-15~2024-10-19,08:00-17:00,4-6명,경북 군위군,경북 군위군 효령면 사과명가길 666,사과,사과 명산지/체험형,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500
영천 포도 수확축제,2024-09-05~2024-09-09,09:00-16:00,5-7명,경북 영천시,경북 영천시 화남면 포도단지로 777,포도,축제 참여/와인포도 체험,https://images.unsplash.com/photo-1537640538966-79f369143327?w=500
청도 복숭아 농장 체험,2024-07-20~2024-07-24,07:30-15:30,3-4명,경북 청도군,경북 청도군 화양읍 복숭아로 888,복숭아,여름 과일/달콤한 체험,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500
안동 한우 목장 돕기,2024-11-10~2024-11-14,09:00-17:00,2-3명,경북 안동시,경북 안동시 풍천면 한우목장길 999,한우,축산 체험/남성 우대,https://images.unsplash.com/photo-1560457079-9a6532ccb118?w=500
의성 고추 농장 체험,2024-08-25~2024-08-29,08:30-16:30,4-5명,경북 의성군,경북 의성군 의성읍 고추밭로 101,고추,매운맛 도전/건조 작업,https://images.unsplash.com/photo-1583508915901-b5f84c1dcde1?w=500
강릉 감자 캐기 축제,2024-07-10~2024-07-14,08:00-16:00,5-6명,강원 강릉시,강원 강릉시 왕산면 감자밭길 202,감자,축제 체험/가족단위 환영,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500
홍천 옥수수 농장,2024-08-05~2024-08-09,09:00-17:00,3-4명,강원 홍천군,강원 홍천군 홍천읍 옥수수길 303,옥수수,달콤한 간식/여름 체험,https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=500
횡성 한우 목장,2024-06-15~2024-06-19,09:30-17:30,2-3명,강원 횡성군,강원 횡성군 횡성읍 한우단지로 404,한우,명품 한우/축산 체험,https://images.unsplash.com/photo-1560457079-9a6532ccb118?w=500
정선 고랭지 배추,2024-08-20~2024-08-24,07:00-15:00,4-5명,강원 정선군,강원 정선군 임계면 고랭지로 505,배추,시원한 고랭지/김치용,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=500
평창 산삼 캐기,2024-09-12~2024-09-16,08:00-16:00,1-2명,강원 평창군,강원 평창군 봉평면 산삼길 606,산삼,고급 약초/체험형,https://images.unsplash.com/photo-1609501676725-7186f4f3d28e?w=500
나주 배 농장 체험,2024-10-08~2024-10-12,08:30-16:30,4-5명,전남 나주시,전남 나주시 왕곡면 나주배로 707,배,명품 나주배/체험형,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500
완도 단감 수확,2024-11-15~2024-11-19,08:00-16:00,3-4명,전남 완도군,전남 완도군 완도읍 단감로 808,단감,섬지역 체험/가을 과일,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500
보성 녹차밭 관리,2024-05-01~2024-05-05,06:30-15:30,3-5명,전남 보성군,전남 보성군 보성읍 녹차밭로 909,차,전통 녹차/힐링 체험,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500
해남 유기농 채소 농장,2024-06-20~2024-06-24,08:00-17:00,4-6명,전남 해남군,전남 해남군 해남읍 유기농로 111,채소,유기농/친환경 관심자,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=500
광양 매실 농장 체험,2024-06-01~2024-06-05,07:30-16:30,3-4명,전남 광양시,전남 광양시 다압면 매실로 222,매실,건강식품 관심/체험형,https://images.unsplash.com/photo-1542838132-92c53300491e?w=500
